06:00  -  06:14,42,,164,,206,
06:15  -  06:29,55,,217,,272,
06:30  -  06:44,39,,307,,346,
06:45  -  06:59,71,,453,,524,
07:00  -  07:14,88,,406,,494,
07:15  -  07:29,98,,518,,616,
07:30  -  07:44,141,,526,,667,
07:45  -  07:59,166,,763,,929,
08:00  -  08:14,213,1520,968,6961,1181,8481
08:15  -  08:29,219,,958,,1177,
08:30  -  08:44,195,,842,,1037,
08:45  -  08:59,193,,839,,1032,
09:00  -  09:14,152,5187,862,8736,1014,13923
09:15  -  09:29,169,,822,,991,
09:30  -  09:44,147,,646,,793,
09:45  -  09:59,138,,527,,665,
10:00  -  10:29,275,,701,,976,
10:30  -  10:59,280,,666,,946,
11:00  -  11:29,330,,629,,959,
11:30  -  11:59,334,,568,,902,
12:00  -  12:29,447,,598,,1045,
12:30  -  12:59,469,,577,,1046,
13:00  -  13:29,524,,507,,1031,
13:30  -  13:59,575,,534,,1109,
14:00  -  14:29,660,,542,,1202,
14:30  -  14:59,687,,557,,1244,
15:00  -  15:14,436,,244,,680,
15:15  -  15:29,464,,292,,756,
15:30  -  15:44,567,,323,,890,
15:45  -  15:59,578,,308,,886,
16:00  -  16:14,868,,286,,1154,
16:15  -  16:29,777,,306,,1083,
16:30  -  16:44,991,,430,,1421,
16:45  -  16:59,911,,350,,1261,
17:00  -  17:14,1102,,353,,1455,
17:15  -  17:29,1245,,418,,1663,
17:30  -  17:44,1154,,448,,1602,
17:45  -  17:59,1000,,458,,1458,
18:00  -  18:14,966,13276,391,5654,1357,18930
18:15  -  18:29,803,,368,,1171,
18:30  -  18:44,729,,350,,1079,
18:45  -  18:59,685,,329,,1014,
19:00  -  19:29,987,4068,488,1741,1475,5809
19:30  -  19:59,815,,370,,1185,
20:00  -  20:29,638,,279,,917,
20:30  -  20:59,536,,261,,797,
21:00  -  21:29,532,,179,,711,
21:30  -  21:59,560,,164,,724,
22:00  -  22:29,383,984,124,574,507,1558
22:30  -  22:59,230,,135,,365,
23:00  -  23:29,160,,104,,264,
23:30  -  23:59,100,,71,,171,
24:00  -  24:29,63,,59,,122,
24:30  -  24:59,29,,50,,79,
25:00  -  25:29,19,,31,,50,
,,,,,,
